排名,CPU名称,性能分数,百分比,ID
105,Intel Xeon Gold 6548Y+,70410,43.282618718303%,6067
106,Intel Xeon Gold 6448H,70292,43.210081450745%,6391
107,AMD Ryzen Threadripper PRO 9955WX 16-Cores,69993,43.026279391425%,6395
108,AMD Ryzen 9 9950X3D,69701,42.846780390349%,6134
109,AMD EPYC 7H12,69633,42.804979253112%,5430
110,AMD EPYC 7V12,69102,42.478561549101%,6225
111,AMD EPYC 7742,68749,42.261564469033%,3422
112,Apple M3 Ultra 28 Core,68721,42.244352236053%,6205
113,AMD EPYC 7643P 48-Core,68675,42.216074996158%,5765
114,AMD EPYC 75F3,68505,42.111572153066%,4561
115,AMD Ryzen Threadripper PRO 5965WX,68405,42.050099892424%,4629
116,Intel Xeon w7-3465X,68389,42.040264330721%,5300
117,INTEL XEON PLATINUM 8571N,68385,42.037805440295%,5770
118,AMD EPYC 9254,68300,41.985554018749%,5309
119,Intel Xeon 658X,68239,41.948055939757%,6684
120,AMD EPYC 7642,67748,41.646227140003%,4728
121,Intel Xeon w7-3555,67636,41.577378208084%,6594
122,AMD Ryzen 9 9955HX3D,67091,41.242354387583%,6187
123,AMD Ryzen 9 9950X,66918,41.136007376671%,5914
124,INTEL XEON PLATINUM 8563C,66787,41.05547871523%,6632
125,AMD EPYC 7543P,66687,40.994006454587%,4380
126,AMD EPYC-Rome-v3,66386,40.808974950054%,6479
127,AMD Ryzen 9 7950X,66251,40.725987398187%,4899
128,Intel Xeon w7-2595X,66235,40.716151836484%,6173
129,Intel Core Ultra 9 290HX Plus,66203,40.696480713078%,6686
130,AMD EPYC 4565P,66184,40.684800983556%,6251
131,Intel Xeon w9-3475X,65891,40.504687259874%,5150
132,AMD EPYC 9175F,65792,40.443829721838%,6210
133,Intel Xeon Gold 6530,65533,40.284616566774%,5753
134,Intel Core i9-14900KS,65281,40.129706469955%,5722
135,AMD EPYC 7R32,64727,39.789150145997%,4058
136,Intel Xeon Platinum 8469C,64513,39.657599508222%,6605
137,Intel Core Ultra 7 270K Plus,64360,39.563546949439%,6655
138,Intel Core i9-13900KF,64273,39.51006608268%,4939
139,AMD 100-000000011-11,64259,39.50145996619%,5420
140,Intel Xeon 6520P,64053,39.374827109267%,6602
141,AMD Ryzen Threadripper 3970X,63925,39.296142615645%,3512
142,AMD Ryzen 9 7950X3D,63925,39.296142615645%,5097
143,Intel Xeon Gold 6438Y+,63434,38.994313815891%,6270
144,AMD EPYC 9224,62900,38.66605194406%,5595
145,AMD Ryzen Threadripper PRO 3975WX,62899,38.665437221454%,3764
146,AMD EPYC 4584PX,62877,38.651913324112%,5805
147,Intel Core i9-13900KS,62737,38.565852159213%,5028
148,Intel Xeon Platinum 8454H,62530,38.438604579683%,5773
149,Intel Xeon Platinum 8380 @ 2.30GHz,62317,38.307668664515%,4363
150,AMD EPYC 8434P,62182,38.224681112648%,5683
151,AMD EPYC 4564P,62058,38.148455509451%,5804
152,AMD Ryzen 9 7945HX,61985,38.103580759182%,5096
153,Intel Core Ultra 7 265KF,61964,38.090671584448%,5988
154,Intel Core i9-14900K,61750,37.959120946673%,5501
155,AMD EPYC 8534P,61570,37.848470877517%,5713
156,Intel Xeon 6710E,61404,37.74642692485%,6462
157,Intel Xeon w7-2575X,61402,37.745197479637%,5941
158,Intel Xeon 654,61351,37.71384662671%,6654
159,Intel Core i9-13900,61229,37.638850468726%,5043
160,Intel Xeon Gold 5520+,61227,37.637621023513%,6181
161,AMD Ryzen Threadripper PRO 7955WX,61073,37.542953742124%,5507
162,Intel Core Ultra 9 275HX,61010,37.504226217919%,6094
163,AMD EPYC 74F3,60948,37.466113416321%,4435
164,Intel Xeon Gold 6421N,60562,37.228830490241%,5443
165,Intel Core Ultra 7 265K,60244,37.033348701398%,5981
166,Intel Core i9-14900KF,59384,36.504687259874%,5462
167,Intel Core i9-13900K,59348,36.482557246043%,4889
168,AMD EPYC 7473X,59280,36.440756108806%,5431
169,Intel Xeon w7-3545,59163,36.368833563854%,6352
170,Intel Xeon Gold 6542Y,59047,36.297525741509%,6098
171,Intel Xeon W-3365 @ 2.70GHz,59038,36.291993238051%,5065
172,Intel Xeon w7-2495X,58957,36.242200706931%,5156
173,Intel Core i9-13900F,58554,35.994467496542%,5022
174,Intel Xeon Gold 5512U,58547,35.990164438297%,5723
175,AMD EPYC 7702P,58119,35.727063162748%,3436
176,AMD EPYC 9135,58070,35.696941755033%,6024
177,AMD EPYC 7443,58066,35.694482864607%,4986
178,AMD EPYC 7443P,58047,35.682803135085%,4251
179,AMD Ryzen 9 9955HX 16-Core,57771,35.513139695712%,6216
180,Intel Xeon Gold 5420+,57593,35.403719071769%,5143
181,Intel Xeon Gold 6448Y,57472,35.329337636392%,5441
182,Ampere ARM - 192 Core 3200 MHz,57444,35.312125403412%,5794
183,Intel Xeon Gold 6423N,57434,35.305978177347%,5557
184,ARM Neoverse-V2 72 Core 3465 MHz,57369,35.26602120793%,5923
185,ARM Neoverse-V2 72 Core 3447 MHz,57299,35.22299062548%,6285
186,Intel Core i9-14900,57276,35.208852005533%,5671
187,ARM Neoverse-V2 72 Core 3519 MHz,57240,35.186721991701%,5818
188,AMD Ryzen 9 7945HX3D,57174,35.146150299677%,5582
189,Intel Xeon w7-3455,57164,35.140003073613%,5771
190,Intel Xeon Platinum 8358 @ 2.60GHz,57007,35.043491624404%,4362
191,Intel Core Ultra 7 255HX,56989,35.032426617489%,6208
192,AMD Ryzen Threadripper PRO 9945WX 12-Cores,56862,34.954356846473%,6393
193,AMD EPYC 7542,56728,34.871984017212%,4078
194,ARM Neoverse-V2 96 Core 0 MHz,56570,34.774857845397%,6337
195,AMD Ryzen 9 7940HX,56520,34.744121715076%,5666
196,ARM Neoverse-V2 72 Core 3411 MHz,56432,34.690026125711%,6565
197,Intel Xeon w5-2565X,56379,34.65744582757%,5940
198,AMD Ryzen 9 9900X3D,56159,34.522206854157%,6133
199,AMD EPYC 9384X,56071,34.468111264792%,6103
200,AMD EPYC 7513,56009,34.429998463193%,4252
201,AMD EPYC 7B12,55859,34.33779007223%,5488
202,AMD Ryzen 9 8940HX,55745,34.267711695098%,6229
203,Intel Core i7-14700KF,55733,34.26033502382%,5500
204,AMD EPYC 4545P,55622,34.192100814507%,6287
205,AMD EPYC 9174F,55485,34.107883817427%,5320
206,AMD EPYC 7532,55358,34.029814046412%,4512
207,Intel Xeon Gold 6414U,55200,33.932687874597%,5144
208,Intel Core i7-14700,54947,33.777163055171%,5646
209,AMD Ryzen Threadripper 3960X,54726,33.641309359152%,3500
210,Intel Core i9-13980HX,54483,33.491931765791%,5073
211,Intel Xeon Gold 6442Y,54306,33.383125864454%,5950
212,Intel Xeon w5-3535X,54276,33.364684186261%,6149
213,Intel Xeon Platinum 8360Y @ 2.40GHz,54078,33.242969110189%,5474
214,Intel Core Ultra 9 285HX,54021,33.207929921623%,6172
215,AMD Ryzen 9 9900X,53863,33.110803749808%,5887
216,AMD Ryzen 9 8945HX,53850,33.102812355924%,6253
217,AMD Ryzen 9 8945HX,53850,33.102812355924%,6254
218,AMD EPYC 7F72,53818,33.083141232519%,5598
219,Intel Core Ultra 9 285,53722,33.024127862302%,6053
220,Intel Core i7-14700K,53580,32.93683725219%,5499
221,AMD EPYC 7453,53511,32.894421392347%,4640
222,AMD EPYC 8324P,53373,32.80958967266%,5712
223,Intel Xeon W-3375 @ 2.50GHz,53266,32.743814353773%,4780
224,Intel Xeon Gold 6348 @ 2.60GHz,53112,32.649147072384%,4361
225,AMD Ryzen 9 7900X,53110,32.647917627171%,4898
226,Intel Xeon Gold 5412U,52881,32.5071461503%,5533
227,Intel Xeon Gold 6438N,52789,32.450591670509%,5440
228,AMD Ryzen 9 9850HX 12-Core,52693,32.391578300292%,6439
229,AMD Ryzen 9 7900X3D,52302,32.15122176118%,5095
230,Intel Core i9-14900F,52298,32.148762870755%,5626
231,Intel Xeon w5-2555X,51912,31.911479944675%,5944
232,Intel Core Ultra 7 265F,51897,31.902259105579%,6141
233,Intel Core i9-13900HX,51739,31.805132933764%,5072
234,Intel Xeon Gold 6418H,51711,31.787920700784%,6282
235,AMD Ryzen Threadripper PRO 5955WX,51656,31.75411095743%,4628
236,Intel Core i9 69420K,51504,31.660673121254%,6590
237,Intel Xeon Gold 6430,51490,31.652067004764%,6278
238,Intel Core i9-69420K,51435,31.618257261411%,6591
239,Intel Xeon 6511P,51286,31.526663593054%,6492
240,Intel Core 69420K,51263,31.512524973106%,6589
241,Intel Core i9-13900T,51210,31.479944674965%,5055
242,AMD EPYC 4484PX,51115,31.421546027355%,5803
243,AMD EPYC 7552,51104,31.414784078684%,5444
244,Intel Xeon Gold 6314U @ 2.30GHz,51014,31.359459044106%,4828
245,AMD Ryzen Threadripper PRO 7945WX,50835,31.249423697556%,5506
246,AMD EPYC 4464P,50814,31.236514522822%,5802
247,Intel Xeon Gold 6554S,50777,31.213769786384%,6148
248,AMD EPYC 4465P 12-Core,50463,31.020746887967%,6279
249,AMD EPYC 9184X,50344,30.947594897802%,5674
250,Intel Xeon Gold 6544Y,50319,30.932226832642%,6105
251,Intel Xeon Platinum 8562Y+,50189,30.852312893807%,6559
252,AMD Ryzen 9 PRO 9945 12-Core,50113,30.805593975718%,6487
253,AMD Ryzen AI Max+ Pro 395,49808,30.618103580759%,6168
254,AMD EPYC 9115 16-Core,49691,30.546181035808%,6097
255,AMD Ryzen 9 PRO 7945,49660,30.527124635008%,5458
256,Intel Xeon Platinum 8347C @ 2.10GHz,49386,30.358690640848%,4677
257,Intel Xeon w5-3525,49190,30.238205009989%,6142
258,AMD EPYC 7502,49177,30.230213616106%,3792
259,Montage Jintide C5418Y,49045,30.149070232058%,5832
260,AMD Ryzen AI Max+ 395,49009,30.126940218227%,6167
261,AMD EPYC 7R12,48934,30.080836022745%,5105
262,AMD EPYC 8224P 24-Core Emb,48873,30.043337943753%,6387
263,AMD Ryzen 9 7900,48845,30.026125710773%,5034
264,Intel Core i9-13900E,48825,30.013831258645%,5375
265,Intel Xeon Gold 6342 @ 2.80GHz,48330,29.709543568465%,4360
266,Intel Xeon W-3345 @ 3.00GHz,48261,29.667127708621%,4861
267,Intel Core i9-14900T,48034,29.527585676963%,5684
268,AMD Ryzen 9 5900XT,47829,29.401567542646%,5890
269,Intel Xeon w7-2475X,47746,29.350545566313%,5371
270,AMD EPYC 7413,47603,29.262640233595%,4208
271,Apple M2 Ultra 24 Core,47589,29.254034117105%,5342
272,Intel Core i9-12900KS,47477,29.185185185185%,4692
273,Intel Xeon w5-3435X,47316,29.086214845551%,5313
274,ARM Ampere-1a 192 Core 2600 MHz,47202,29.016136468419%,6028
275,Intel Xeon Gold 6444Y,47176,29.000153680652%,6045
276,AMD EPYC 7502P,47070,28.934993084371%,3401
277,Intel Xeon Platinum 8375C @ 2.90GHz,46912,28.837866912556%,4606
278,Intel Core Ultra 9 285K,46872,28.813278008299%,5967
279,Intel Core i7-13700K,46840,28.793606884893%,4949
280,AMD Ryzen 9 7845HX,46791,28.763485477178%,5064
281,Intel Xeon Platinum 8368Q @ 2.60GHz,46681,28.695865990472%,5754
282,Intel Core i7-13700KF,46640,28.670662363608%,4950
283,Intel Core Ultra 7 265,46618,28.657138466267%,6040
284,Intel Xeon 6521P,46599,28.645458736745%,6176
285,Intel Xeon w5-2465X,46504,28.587060089135%,5287
286,Intel Core Ultra 7 265HX,46443,28.549562010143%,6256
287,Intel Core Ultra 7 265HX,46443,28.549562010143%,6257
288,Intel Xeon Gold 6338N @ 2.20GHz,46322,28.475180574766%,4768
289,ARM Neoverse-N1 128 Core 3000 MHz,46271,28.443829721838%,4872
290,AMD EPYC 73F3,46085,28.329491317043%,4265
291,Intel Core i7-13790F,46065,28.317196864915%,5399
292,Intel Xeon Gold 6526Y,46000,28.277239895497%,5752
293,AMD EPYC 7543,45978,28.263715998156%,4503
294,Intel Xeon 6517P,45923,28.229906254803%,6137
295,AMD EPYC 7343,45882,28.204702627939%,4250
296,AMD EPYC 7713P,45860,28.191178730598%,4642
297,AMD EPYC 7402,45684,28.082987551867%,4030
298,AMD Ryzen 9 5950X,45681,28.081143384048%,4665
299,Intel Xeon Gold 6336Y @ 2.40GHz,45517,27.980328876594%,4359
300,AMD Ryzen 7 8840HX with Radeon Graphics,45268,27.827262947595%,6509
301,AMD RYZEN AI MAX 390 w/ Radeon 8050S,45248,27.814968495466%,6156
302,Intel Xeon Silver 4416+,45127,27.740587060089%,5490
303,Intel Xeon Gold 6538N,44895,27.597971415399%,5716
304,Intel Core i7-14700F,44835,27.561088059013%,5624
305,Intel Xeon W-3275 @ 2.50GHz,44820,27.551867219917%,5159
306,AMD Ryzen AI Max Pro 390,44680,27.465806055018%,6166
307,Intel Xeon 6515P,44551,27.386506838789%,6537
308,Intel Xeon Gold 5418Y,44487,27.347164591978%,5762
309,Intel Xeon Platinum 8352M @ 2.30GHz,44406,27.297372060858%,5757
310,Intel Core Ultra 5 245KF,44396,27.291224834793%,5987
311,AMD EPYC 8224P,43782,26.913785154449%,5711
312,Intel Xeon Gold 6312U @ 2.40GHz,43745,26.891040418011%,4485
313,AMD EPYC 9124,43343,26.643921930229%,5274
314,Intel Xeon w7-3445,43341,26.642692485016%,5401
315,ARM Neoverse-N1 128 Core 2800 MHz,43111,26.501306285539%,5109
316,Intel Xeon Gold 6330 @ 2.00GHz,43056,26.467496542185%,4388
317,AMD EPYC 7D12,42762,26.286768095897%,4927
318,Intel Core i7-13700F,42617,26.197633317965%,5026
319,ARM Apple M4 Max 16 Core,42364,26.04210849854%,5999
320,Intel Core i9-14900HX,42337,26.025510988167%,5653
321,AMD EPYC 7601,42244,25.968341785769%,4641
322,AMD EPYC 7452,41871,25.739050253573%,3508
323,AMD Ryzen 7 9850X3D 8-Core,41840,25.719993852774%,6619
324,AMD EPYC 7402P,41741,25.659136314738%,3496
325,Intel Xeon w5-2545,41688,25.626556016598%,5943
326,Intel Xeon W-3275M @ 2.50GHz,41582,25.561395420317%,3529
327,AMD Ryzen Threadripper PRO 5945WX,41570,25.554018749039%,4627
328,Intel Xeon Gold 6354 @ 3.00GHz,41434,25.470416474566%,4502
329,Apple M1 Ultra 20 Core,41306,25.391731980944%,4644
330,Intel Core Ultra 5 245K,41148,25.294605809129%,5978
331,Intel Core Ultra 5 245HX,41045,25.231289380667%,6383
332,Intel Core i5-14600K,40995,25.200553250346%,5495
333,AMD EPYC 7F52,40951,25.173505455663%,4152
334,Intel Xeon Platinum 8275CL @ 3.00GHz,40794,25.076994006455%,4660
335,Intel Xeon Gold 6416H,40606,24.961426156447%,5734
336,Intel Core i5-14600,40540,24.920854464423%,5652
337,AMD EPYC 7K62,40487,24.888274166282%,4750
338,AMD EPYC 7352,40472,24.879053327186%,4423
339,Apple M3 Max 16 Core,40442,24.860611648993%,5525
340,AMD Ryzen 7 9700X3D 8-Core,40438,24.858152758568%,6549
341,AMD Ryzen Threadripper PRO 3955WX,40356,24.807745504841%,3761
342,1a/44,40297,24.771476871062%,6116
343,Intel Core Ultra 9 285T,40238,24.735208237283%,6114
344,Intel Core Ultra 5 235HX,40122,24.663900414938%,6456
345,Intel Core i9-12900,39944,24.554479790994%,4600
346,Intel Xeon Gold 6450C,39941,24.552635623175%,6157
347,AMD Ryzen 7 9800X3D,39922,24.540955893653%,5990
348,AMD EPYC 7313,39829,24.483786691256%,4313
349,Intel Xeon W-3265M @ 2.70GHz,39765,24.444444444444%,4420
350,AMD Ryzen 9 5900X,39525,24.296911018903%,3783
351,Intel Core i7-14650HX,39286,24.149992315967%,5622
352,AMD Ryzen 9 3950X,39165,24.07561088059%,3484
353,Intel Core i9-12950HX,39136,24.057783925004%,4743
354,Intel Xeon 6505P,39136,24.057783925004%,6461
355,Intel Xeon W-3335 @ 3.40GHz,38944,23.93975718457%,4705
356,Intel Xeon w5-2455X,38798,23.850007684033%,5400
357,Intel Xeon w5-3425,38731,23.808821269402%,5385
358,Intel Xeon Gold 6248R @ 3.00GHz,38604,23.730751498386%,3638
359,AMD EPYC 7313P,38537,23.689565083756%,4273
360,Intel Core i7-13850HX,38473,23.650222836945%,5129
361,ARM Apple M4 Max 14 Core,38378,23.591824189335%,5998
362,Intel Core i5-13600KF,38168,23.462732441986%,4946
363,Intel Core i5-13600K,38139,23.444905486399%,4936
364,ARM Neoverse-N1 80 Core 3000 MHz,38122,23.43445520209%,4375
365,Intel Xeon 6724P,38061,23.396957123098%,6604
366,Intel Core i7-12800HX,37866,23.277086214846%,4793
367,Intel Core i7-14700HX,37844,23.263562317504%,5498
368,ARM Neoverse-N1 80 Core 0 MHz,37809,23.242047026279%,4418
369,Intel Core Ultra 7 265H,37782,23.225449515906%,6212
370,Intel Xeon Gold 6268CL @ 2.80GHz,37719,23.186721991701%,5393
371,AMD Ryzen AI 9 HX 370,37699,23.174427539573%,5868
372,AMD EPYC 4345P,37671,23.157215306593%,6249
373,AMD EPYC 4345P,37671,23.157215306593%,6250
374,Intel Xeon Platinum 8280M @ 2.70GHz,37665,23.153526970954%,6498
375,Intel Xeon Gold 5416S,37628,23.130782234517%,5142
376,Apple M4 Pro 14 Core,37619,23.125249731059%,5992
377,Intel Xeon Platinum 8280 @ 2.70GHz,37575,23.098201936376%,3734
378,Intel Xeon Gold 5320 @ 2.20GHz,37558,23.087751652067%,5036
379,Intel Core Ultra 5 245,37493,23.047794682649%,6231
380,Intel Xeon Gold 6346 @ 3.10GHz,37390,22.984478254188%,4537
381,Intel Core i9-12900K,37351,22.960504072537%,4475
382,Intel Core Ultra 9 285H,37343,22.955586291686%,6054
383,AMD EPYC 9755,37319,22.940832949132%,6252
384,Intel Xeon Silver 4316 @ 2.30GHz,37264,22.907023205778%,4344
385,Intel Xeon Gold 6238R @ 2.20GHz,37171,22.849854003381%,4556
386,Intel Xeon W-3175X @ 3.10GHz,37167,22.847395112955%,3391
387,AMD Ryzen 7 PRO 9745 8-Core,36985,22.735515598586%,6582
388,AMD Ryzen AI 9 HX PRO 470 w/ Radeon 890M,36591,22.493314891655%,6671
389,Intel Core Ultra 7 265T,36535,22.458890425695%,6258
390,Intel Core i9-12900KF,36502,22.438604579683%,4484
391,AMD EPYC 7303P,36487,22.429383740587%,6497
392,AMD Ryzen 7 9700X,36431,22.394959274627%,5913
393,Intel Core i9-13950HX,36415,22.385123712925%,5087
394,Intel Xeon Gold 6330N @ 2.20GHz,36360,22.351313969571%,5559
395,AMD Ryzen 7 7840HX,36191,22.247425849086%,5975
396,Intel Xeon w3-2535,36181,22.241278623021%,6209
397,Intel Core i7-14790F,36109,22.197018595359%,6414
398,AMD Ryzen 7 7700X,36017,22.140464115568%,4919
399,Apple M3 Max 14 Core,35876,22.053788228062%,5537
400,AMD EPYC 4364P,35865,22.047026279391%,5801
401,Intel Xeon Gold 6326 @ 2.90GHz,35860,22.043952666359%,4536
402,Intel Xeon Gold 6338T @ 2.10GHz,35801,22.00768403258%,6380
403,AMD EPYC 8124P,35766,21.986168741355%,5710
404,Intel Core i5-14600KF,35757,21.980636237898%,5496
405,AMD EPYC 4344P,35529,21.840479483633%,5800
406,Intel Xeon Gold 6242R @ 3.10GHz,35505,21.825726141079%,3777
407,AMD Ryzen 9 PRO 5945,35467,21.802366682035%,4865
408,AMD EPYC-Turin,35381,21.749500537882%,6608
409,AMD EPYC-Turin,35381,21.749500537882%,6609
410,AMD Ryzen 9 5900,35369,21.742123866605%,4145
411,AMD Ryzen 7 PRO 7745,35225,21.65360381128%,5456
412,Intel Xeon Platinum 8180 @ 2.50GHz,35208,21.643153526971%,4766
413,AMD Ryzen 7 7745HX,35207,21.642538804365%,5262
414,Intel Core Ultra 5 235,35181,21.626556016598%,6113
415,Intel Core i9-12900TE,35057,21.550330413401%,5438
416,Intel Core i7-14700T,34949,21.483940371907%,5823
417,[8-Way] Intel Xeon E7-8880 v2 @ 2.50GHz,34923,21.46795758414%,3771
418,AMD Ryzen AI 9 HX 470 w/ Radeon 890M,34906,21.457507299831%,6628
419,Intel Core Ultra 5 235T,34653,21.301982480406%,6207
420,AMD Ryzen 7 7700,34603,21.271246350085%,5032
421,Intel Xeon w5-2445,34593,21.26509912402%,5278
422,Intel Xeon Platinum 8260M @ 2.40GHz,34592,21.264484401414%,6055
423,AMD Ryzen 7 7800X3D,34446,21.174734900876%,5140
424,Intel Core i7-13700,34431,21.16551406178%,4860
425,Intel Xeon Platinum 8260C @ 2.40GHz,34420,21.158752113109%,6178
426,Intel Core Ultra 7 366H,34386,21.137851544491%,6620
427,Intel Xeon Silver 4514Y,34382,21.135392654065%,6070
428,AMD Ryzen AI 9 HX PRO 375,34300,21.084985400338%,6062
429,Intel Xeon w5-3433,34297,21.083141232519%,5828
430,Intel Xeon Gold 6240R @ 2.40GHz,34206,21.027201475334%,5304
431,Intel Core i9-13900H,33997,20.898724450592%,5078
432,Intel Xeon Silver 4510,33974,20.884585830644%,5755
433,Intel Xeon Platinum 8260M @ 2.30GHz,33970,20.882126940218%,3809
434,Intel Core i7-13700HX,33968,20.880897495005%,5101
435,Intel Core i9-13905H,33881,20.827416628247%,5351
436,Apple M4 Pro 12 Core,33845,20.805286614415%,5991
437,Intel Xeon D-2799 @ 2.40GHz,33760,20.753035192869%,4674
438,Intel Core i9-10980XE @ 3.00GHz,33726,20.732134624251%,3518
439,AMD Ryzen Threadripper PRO 3945WX,33610,20.660826801906%,3758
440,Intel Core i9-12900T,33540,20.617796219456%,4590
